FEATURE_ID,SVDATE,ASL_FDR,ASL_FDRLFT,ASL_FDCENT,ASL_FDRIGH,ASL_SHARED,ASL_COLOUR,BOROUGH,PHOTO1_URL,PHOTO2_URL,geometry
RWG184282,2017-11-03,0,0,0,0,0,NONE,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG184282_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG184282_2.jpg,"c(0.0184217987, 0.018403296, 51.4865002296, 51.4864696164)"
RWG205281,2017-12-01,0,0,0,0,0,NONE,Lewisham,https://cycleassetimages.data.tfl.gov.uk/RWG205281_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG205281_2.jpg,"c(-0.0640951981, -0.0640169661, 51.4410195662, 51.4410019332)"
RWG205283,2017-12-01,0,0,0,0,0,NONE,Lewisham,https://cycleassetimages.data.tfl.gov.uk/RWG205283_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG205283_2.jpg,"c(-0.0616834146, -0.0616395612, 51.4403422375, 51.4403888613)"
RWG205284,2017-12-01,0,0,0,0,0,NONE,Lewisham,https://cycleassetimages.data.tfl.gov.uk/RWG205284_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG205284_2.jpg,"c(-0.0612834044, -0.0613535703, 51.4404796655, 51.4404801127)"
RWG199042,2017-11-17,1,1,0,0,0,NONE,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG199042_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG199042_2.jpg,"c(0.0809642644, 0.080887684, 51.4505220371, 51.4505257889)"
RWG199045,2017-11-18,1,1,0,0,0,RED,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG199045_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG199045_2.jpg,"c(0.0230278235, 0.0229584401, 51.4481990945, 51.4481816086)"
RWG184249,2017-11-14,1,1,0,0,0,NONE,Greenwich,https://cycleassetimages.data.tfl.gov.uk/RWG184249_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG184249_2.jpg,"c(0.063539518, 0.0635561509, 51.4874031831, 51.487363053)"
RWG154336,2017-10-22,1,1,0,0,0,NONE,Redbridge,https://cycleassetimages.data.tfl.gov.uk/RWG154336_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG154336_2.jpg,"c(0.1160703712, 0.1161060012, 51.6030448321, 51.6030099271)"
RWG154380,2017-10-26,1,1,0,0,0,NONE,Newham,https://cycleassetimages.data.tfl.gov.uk/RWG154380_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG154380_2.jpg,"c(0.0221606611, 0.0221529403, 51.5370383385, 51.5370074791)"
RWG290120,2018-03-23,0,0,0,0,0,NONE,Newham,https://cycleassetimages.data.tfl.gov.uk/RWG290120_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG290120_2.jpg,"c(0.0540693216, 0.0540218065, 51.5529249878, 51.552907228)"
RWG290122,2018-03-28,1,1,0,0,0,GREEN,Newham,https://cycleassetimages.data.tfl.gov.uk/RWG290122_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG290122_2.jpg,"c(0.0093347171, 0.0093148101, 51.542655866, 51.5426721756)"
RWG154260,2017-10-10,1,1,0,0,0,GREEN,Redbridge,https://cycleassetimages.data.tfl.gov.uk/RWG154260_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG154260_2.jpg,"c(0.0480735615, 0.0481213423, 51.6047208187, 51.6047435927)"
RWG154274,2017-10-12,0,0,0,0,0,GREEN,Redbridge,https://cycleassetimages.data.tfl.gov.uk/RWG154274_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG154274_2.jpg,"c(0.0221551564, 0.022149486, 51.594741524, 51.5947756857)"
RWG154458,2017-11-12,0,0,0,0,0,GREEN,Newham,https://cycleassetimages.data.tfl.gov.uk/RWG154458_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG154458_2.jpg,"c(0.0089805266, 0.0090501552, 51.542760893, 51.5427816698)"
RWG154463,2018-01-15,0,0,0,0,0,BUFF/YELLOW,Newham,https://cycleassetimages.data.tfl.gov.uk/RWG154463_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG154463_2.jpg,"c(0.0041897236, 0.0041364637, 51.5419317999, 51.5419152934)"
