FEATURE_ID,SVDATE,ASL_FDR,ASL_FDRLFT,ASL_FDCENT,ASL_FDRIGH,ASL_SHARED,ASL_COLOUR,BOROUGH,PHOTO1_URL,PHOTO2_URL,geometry,asl_length_m
RWG055708,2017-07-18,1,1,0,0,0,GREEN,Lambeth,https://cycleassetimages.data.tfl.gov.uk/RWG055708_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG055708_2.jpg,"c(-0.1130317145, -0.1130248553, -0.1130148918, 51.5045963187, 51.5045814045, 51.5045626994)",3.91625964239747
RWG055721,2017-07-19,1,0,1,0,0,GREEN,Lambeth,https://cycleassetimages.data.tfl.gov.uk/RWG055721_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG055721_2.jpg,"c(-0.1102563877, -0.1102104739, 51.502048134, 51.5020769651)",4.51415111626639
RWG055804,2017-07-19,1,1,0,0,0,NONE,Lambeth,https://cycleassetimages.data.tfl.gov.uk/RWG055804_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG055804_2.jpg,"c(-0.1280354058, -0.1281451095, 51.4796362007, 51.4796455264)",7.6675894441876
RWG042418,2017-07-10,0,0,0,0,0,NONE,Kensington & Chelsea,https://cycleassetimages.data.tfl.gov.uk/RWG042418_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG042418_2.jpg,"c(-0.1672757408, -0.1672872506, 51.4833164362, 51.4833402595)",2.76633362204305
RWG082550,2017-07-26,0,0,0,0,0,GREEN,Southwark,https://cycleassetimages.data.tfl.gov.uk/RWG082550_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG082550_2.jpg,"c(-0.0579140984, -0.0579563027, 51.4882069895, 51.4881650321)",5.50504589671014
RWG082466,2017-07-25,0,0,0,0,0,NONE,Southwark,https://cycleassetimages.data.tfl.gov.uk/RWG082466_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG082466_2.jpg,"c(-0.0964124928, -0.0964446025, 51.4892928138, 51.489352893)",7.04072062779678
RWG999815,2018-03-16,0,0,0,0,0,NONE,Lambeth,https://cycleassetimages.data.tfl.gov.uk/RWG999815_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG999815_2.jpg,"c(-0.1122796009, -0.1122416834, 51.4874137533, 51.4874459781)",4.44210622117664
RWG055678,2017-07-18,1,1,0,0,0,NONE,Lambeth,https://cycleassetimages.data.tfl.gov.uk/RWG055678_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG055678_2.jpg,"c(-0.1167312711, -0.1166842664, 51.486852369, 51.486860624)",3.38159582714538
RWG055685,2017-07-18,1,1,0,0,0,GREEN,Lambeth,https://cycleassetimages.data.tfl.gov.uk/RWG055685_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG055685_2.jpg,"c(-0.1114638381, -0.1114647131, 51.4868408044, 51.4868790691)",4.25527850881099
RWG082478,2017-07-25,1,1,0,0,0,BUFF/YELLOW,Lambeth,https://cycleassetimages.data.tfl.gov.uk/RWG082478_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG082478_2.jpg,"c(-0.107471675, -0.1074171289, 51.4706893011, 51.4706758433)",4.0637034412652
RWG055689,2017-07-18,1,1,0,0,0,NONE,Kensington & Chelsea,https://cycleassetimages.data.tfl.gov.uk/RWG055689_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG055689_2.jpg,"c(-0.1560402179, -0.1560033454, 51.4895357927, 51.4895618709)",3.86342602674919
