id,lat,lon,location,date,time,borough,mode,year
320465,51.515867,-0.100756,Newgate Street (A40) 14 metres west of junction with Warwick Lane,2018-10-31,08:40:00,City of London, PedalCycle,2018
363750,51.515874,-0.171393,On Sussex Gardens Near The Junction With Radnor Place,2019-09-25,18:12:00,Westminster, PedalCycle,2019
320642,51.515876,-0.174982,London Street junction with Praed Street,2018-02-12,08:00:00,Westminster, PedalCycle,2018
349885,51.515885,-0.195275,On Chepstow Road 30 metres north of The Junction With Artesian Ro,2019-03-07,08:30:00,Westminster, PedalCycle,2019
298828,51.515905,-0.070055,Whitechapel High Street junction with Commercial Road,2017-10-27,16:39:00,Tower Hamlets, PedalCycle,2017
320226,51.51591,-0.10897,New Fetter Lane A4 junction with Neville Lane,2018-02-01,20:15:00,City of London, PedalCycle,2018
349366,51.515913,-0.375576,On Carlyle Avenue Near The Junction With Lady Margaret Road,2019-02-28,06:15:00,Ealing, PedalCycle,2019
724455,51.515925,-0.072374,On Commercial Street Near The Junction With Pomell Street,2019-05-01,08:15:00,Tower Hamlets, PedalCycle,2019
665963,51.515947,-0.150766,Wigmore Street 66 metres east of junction with Thayer Street The Nearest Classified R,2017-10-26,17:50:00,Westminster, PedalCycle,2017
702539,51.515951,-0.208993,Westbourne Park Road junction with Ladbroke Grove,2018-02-13,14:16:00,Kensington & Chelsea, PedalCycle,2018
665785,51.515951,-0.151054,Wigmore Street junction with Mandeville Place,2017-09-27,17:55:00,Westminster, PedalCycle,2017
304951,51.515953,-0.209137,Ladbroke Grove junction with Cornwall Crescent,2017-02-18,12:30:00,Kensington & Chelsea, PedalCycle,2017
321168,51.515954,-0.156963,Portman Square junction with Portman Street,2018-05-30,09:40:00,Westminster, PedalCycle,2018
315104,51.515955,-0.331212,Drayton Bridge Road junction with Browning Avenue,2017-05-09,08:10:00,Ealing, PedalCycle,2017
341283,51.515957,-0.331356,Park Road 25 metres west of junction with Park Road,2018-07-05,08:15:00,Ealing, PedalCycle,2018
726335,51.515966,-0.174978,On Praed Street Near The Junction With London Street,2019-05-28,18:05:00,Westminster, PedalCycle,2019
360568,51.515974,-0.375487,Location Uncertain - Carlyle Avenue junction with Lady Margaret Road (On Nor,2019-08-09,07:30:00,Ealing, PedalCycle,2019
730878,51.515976,-0.164082,On Edgware Road Near The Junction With George Street,2019-06-28,16:40:00,Westminster, PedalCycle,2019
321559,51.51598,-0.164312,Edgware Road 10 metres north of junction with George Street,2018-09-23,19:45:00,Westminster, PedalCycle,2018
297936,51.51599,-0.069763,Whitechapel High Street junction with Osborn Street,2017-01-05,14:10:00,Tower Hamlets, PedalCycle,2017
298705,51.51599,-0.069763,Whitechapel High Street junction with Osborn Street,2017-09-19,17:00:00,Tower Hamlets, PedalCycle,2017
295479,51.515996,-0.125541,High Holborn junction with Grape Street,2017-05-08,11:50:00,Camden, PedalCycle,2017
360794,51.516003,-0.126564,On Shaftesbury Avenue Near The Junction With Dyott Street,2019-08-15,22:35:00,Camden, PedalCycle,2019
293169,51.516011,-0.082013,Bishopsgate A10 Wormwood Street A1211,2017-03-10,19:50:00,City of London, PedalCycle,2017
321230,51.516014,-0.187343,Bishops Bridge Road junction with Inverness Terrace,2018-07-03,02:00:00,Westminster, PedalCycle,2018
349904,51.516039,-0.211829,On Lancaster Road 50 metres north of The Junction With Lancaster,2019-03-08,09:50:00,Kensington & Chelsea, PedalCycle,2019
293569,51.516046,-0.134331,Oxford Street 20 metres east of junction with Newman Street,2017-01-31,23:18:00,Westminster, PedalCycle,2017
669476,51.516047,-0.062266,New Road 21 metres north of junction with Fordham Street,2017-05-18,19:35:00,Tower Hamlets, PedalCycle,2017
293592,51.516053,-0.134763,Oxford Street junction with Newman Street,2017-01-17,09:00:00,Westminster, PedalCycle,2017
664919,51.516056,-0.163444,George Street junction with Forsett Street,2017-03-21,15:39:00,Westminster, PedalCycle,2017
369730,51.516061,-0.187442,On Bishop's Bridge Road Near The Junction With Inverness Terrace,2019-12-15,16:19:00,Westminster, PedalCycle,2019
696700,51.516083,-0.069903,Whitechapel High Street junction with Osborn Steet London,2018-12-04,10:00:00,Tower Hamlets, PedalCycle,2018
367668,51.516088,-0.069716,On Whitechapel High Street Near The Junction With Osborn Street,2019-11-18,18:50:00,Tower Hamlets, PedalCycle,2019
693196,51.51609,-0.120204,Great Queen Street junction with Kingsway,2018-02-03,17:25:00,Camden, PedalCycle,2018
361005,51.516113,-0.124455,On High Holborn Near The Junction With Drury Lane,2019-08-15,11:30:00,Camden, PedalCycle,2019
364561,51.51612,-0.069426,On Whitechapel High Street Near The Junction With White Church Lane,2019-10-07,19:45:00,Tower Hamlets, PedalCycle,2019
370724,51.516123,-0.069628,On Whitechapel High Street Near The Junction With Osbourn Street,2019-10-26,00:00:00,Tower Hamlets, PedalCycle,2019
370888,51.516131,-0.081633,Bishopsgate (A10) Near Junction With Camomile Street (A1211),2019-04-01,17:54:00,City of London, PedalCycle,2019
365068,51.516135,-0.072567,On Commercial Street Near The Junction With Pomell Way,2019-10-15,09:00:00,Tower Hamlets, PedalCycle,2019
314517,51.516139,-0.46308,Kingston Avenue junction with Castle Avenue,2017-10-03,08:05:00,Hillingdon, PedalCycle,2017
357509,51.516143,-0.134745,On Oxford Street Near The Junction With Newmans Street,2019-06-28,20:15:00,Westminster, PedalCycle,2019
370993,51.516151,-0.081719,Bishopsgate (A10) At Junction With Wormwood Street (A1211),2019-08-30,04:45:00,City of London, PedalCycle,2019
297972,51.516166,-0.069496,White Church Lane junction with Whitechapel Road,2017-02-06,08:55:00,Tower Hamlets, PedalCycle,2017
666755,51.516168,-0.130723,Oxford Street junction with Charing Cross Road,2017-07-02,20:40:00,Camden, PedalCycle,2017
346176,51.516173,-0.069395,On Whitechapel Road Near The Junction With Osborn Street London,2019-01-09,19:31:00,Tower Hamlets, PedalCycle,2019
293273,51.516182,-0.081429,Bishopsgate A10 At Jn With Camomile Street A1211,2017-07-13,07:48:00,City of London, PedalCycle,2017
365012,51.516183,-0.419683,On Freemans Lane Near The Junction With Church Road,2019-10-14,08:47:00,Hillingdon, PedalCycle,2019
320432,51.516184,-0.081573,Camomile Street (A1211) At Junction With Bishopsgate (A10),2018-09-19,06:41:00,City of London, PedalCycle,2018
293149,51.516186,-0.081717,Bishopsgate A10 Wormwood Street A1211,2017-01-27,12:54:00,City of London, PedalCycle,2017
353071,51.516187,-0.13359,On Oxford Street 50 metres east of The Junction With Dean Street,2019-04-27,10:00:00,Westminster, PedalCycle,2019
308686,51.516203,0.050163,Tollgate Road junction with Oliver Gardens,2017-07-05,19:05:00,Newham, PedalCycle,2017
370846,51.516218,-0.081471,Bishopsgate (A10) Near Junction With Camomile Street (A1211),2019-01-11,15:30:00,City of London, PedalCycle,2019
348414,51.516226,-0.181886,Cleveland Terrace junction with Gloucester Terrace,2019-01-25,07:12:00,Westminster, PedalCycle,2019
293294,51.516245,-0.101893,Newgate Street A40 junction with Old Bailey,2017-08-14,08:35:00,City of London, PedalCycle,2017
320411,51.516246,-0.096416,Gresham Street - 36 metres From Junction With Foster Lane,2018-09-19,09:40:00,City of London, PedalCycle,2018
293410,51.516262,-0.108523,New Fetter Lane A4 30 metres south of junction with Bartlett Court,2017-10-16,15:20:00,City of London, PedalCycle,2017
369267,51.51627,-0.130344,On Charring Cross Road Near The Junction With New Oxford Street,2019-12-09,14:20:00,Camden, PedalCycle,2019
293292,51.516274,-0.08157,Bishopsgate A10 At Jn With Camomile Street A1211,2017-08-02,18:46:00,City of London, PedalCycle,2017
293365,51.516274,-0.08157,Bishopsgate A10 At Jn With Camomile Street A1211,2017-11-08,19:30:00,City of London, PedalCycle,2017
665144,51.516284,-0.155076,Portman Square junction with Baker Street,2017-05-11,09:24:00,Westminster, PedalCycle,2017
349669,51.516287,-0.132519,On Oxford Street Near The Junction With Hanway Street,2019-03-05,08:50:00,Westminster, PedalCycle,2019
718754,51.516287,-0.155277,Portman Square junction with Baker Street,2019-02-01,16:00:00,Westminster, PedalCycle,2019
370945,51.51629,-0.089136,Moorgate At Junction With Great Swan Alley,2019-05-29,08:35:00,City of London, PedalCycle,2019
371098,51.516292,-0.101992,Holborn Viaduct (A40) Near Junction With Giltspur Street,2019-03-28,12:20:00,City of London, PedalCycle,2019
348569,51.516299,-0.136079,On Berners Street Near The Junction With Oxford Street,2019-02-17,03:08:00,Westminster, PedalCycle,2019
320589,51.516301,-0.161849,George Street junction with Seymour Place,2018-01-31,17:49:00,Westminster, PedalCycle,2018
371130,51.516306,-0.089063,Moorgate At Junction With Great Swan Alley,2019-09-04,08:15:00,City of London, PedalCycle,2019
293302,51.516306,-0.089063,Moorgate junction with Great Swan Alley,2017-09-20,13:50:00,City of London, PedalCycle,2017
293352,51.516307,-0.083586,Wormwood Street A1211 junction with Old Broad Street,2017-10-12,15:30:00,City of London, PedalCycle,2017
